PRISM Time Series Data,,,,,,
Locations: 292,,,,,,
"Climate variables: ppt,tmean",,,,,,
NW10C,-72.8362,45.0057,474,December,3.37,24.3
NW10C,-72.8362,45.0057,474,Annual,44.26,44.1
,,,,,,
NW10T,-72.8383,45.0028,472,January,2.85,16.5
NW10T,-72.8383,45.0028,472,February,2.33,18.7
NW10T,-72.8383,45.0028,472,March,2.95,28.4
NW10T,-72.8383,45.0028,472,April,3.4,42.5
NW10T,-72.8383,45.0028,472,May,3.93,55.4
NW10T,-72.8383,45.0028,472,June,4.45,64.3
NW10T,-72.8383,45.0028,472,July,4.57,68.8
NW10T,-72.8383,45.0028,472,August,4.42,67.3
NW10T,-72.8383,45.0028,472,September,4.12,59.8
NW10T,-72.8383,45.0028,472,October,4.36,47.9
NW10T,-72.8383,45.0028,472,November,3.37,36.2
NW10T,-72.8383,45.0028,472,December,3.35,24.3
NW10T,-72.8383,45.0028,472,Annual,44.1,44.2
,,,,,,
NW01C,-73.0212,44.9328,290,January,2.69,17.2
NW01C,-73.0212,44.9328,290,February,2.21,19.4
NW01C,-73.0212,44.9328,290,March,2.69,29.2
NW01C,-73.0212,44.9328,290,April,3.3,43.2
NW01C,-73.0212,44.9328,290,May,3.81,56.3
NW01C,-73.0212,44.9328,290,June,4.35,65.2
NW01C,-73.0212,44.9328,290,July,4.27,69.9
NW01C,-73.0212,44.9328,290,August,4.09,68.3
NW01C,-73.0212,44.9328,290,September,3.81,60.8
NW01C,-73.0212,44.9328,290,October,4.13,48.5
NW01C,-73.0212,44.9328,290,November,3.13,36.9
NW01C,-73.0212,44.9328,290,December,3.12,25.3
NW01C,-73.0212,44.9328,290,Annual,41.6,45
,,,,,,
NW01T,-73.0503,44.92,258,January,2.63,17.5
NW01T,-73.0503,44.92,258,February,2.17,19.7
NW01T,-73.0503,44.92,258,March,2.65,29.4
NW01T,-73.0503,44.92,258,April,3.29,43.3
NW01T,-73.0503,44.92,258,May,3.79,56.5
NW01T,-73.0503,44.92,258,June,4.34,65.4
NW01T,-73.0503,44.92,258,July,4.23,70.2
NW01T,-73.0503,44.92,258,August,4.06,68.6
NW01T,-73.0503,44.92,258,September,3.78,61
NW01T,-73.0503,44.92,258,October,4.11,48.7
NW01T,-73.0503,44.92,258,November,3.11,37.1
NW01T,-73.0503,44.92,258,December,3.07,25.6
NW01T,-73.0503,44.92,258,Annual,41.22,45.2
,,,,,,
WR1,-72.1614,43.896,453,January,2.52,18.6
WR1,-72.1614,43.896,453,February,2.13,20.8
WR1,-72.1614,43.896,453,March,2.62,30.2
WR1,-72.1614,43.896,453,April,2.96,43.2
WR1,-72.1614,43.896,453,May,3.34,55.5
WR1,-72.1614,43.896,453,June,3.99,64.4
WR1,-72.1614,43.896,453,July,4.21,69.6
WR1,-72.1614,43.896,453,August,3.64,67.8
WR1,-72.1614,43.896,453,September,3.36,60.3
WR1,-72.1614,43.896,453,October,4.14,47.7
WR1,-72.1614,43.896,453,November,2.88,36.6
WR1,-72.1614,43.896,453,December,3.12,25.6
WR1,-72.1614,43.896,453,Annual,38.9,45
,,,,,,
WR4,-72.1641,43.8927,428,January,2.52,18.7
WR4,-72.1641,43.8927,428,February,2.12,20.9
WR4,-72.1641,43.8927,428,March,2.62,30.3
WR4,-72.1641,43.8927,428,April,2.94,43.3
WR4,-72.1641,43.8927,428,May,3.34,55.6
WR4,-72.1641,43.8927,428,June,3.99,64.6
WR4,-72.1641,43.8927,428,July,4.21,69.8
WR4,-72.1641,43.8927,428,August,3.64,67.9
WR4,-72.1641,43.8927,428,September,3.35,60.5
WR4,-72.1641,43.8927,428,October,4.14,47.8
WR4,-72.1641,43.8927,428,November,2.88,36.6
WR4,-72.1641,43.8927,428,December,3.12,25.7
WR4,-72.1641,43.8927,428,Annual,38.87,45.1
,,,,,,
D7,-73.18,43.36,736,January,3.31,20.5
D7,-73.18,43.36,736,February,2.82,22.5
D7,-73.18,43.36,736,March,3.44,31.3
D7,-73.18,43.36,736,April,3.65,44.3
D7,-73.18,43.36,736,May,4.01,56
D7,-73.18,43.36,736,June,4.59,64.6
D7,-73.18,43.36,736,July,4.68,69.2
D7,-73.18,43.36,736,August,4.27,67.3
D7,-73.18,43.36,736,September,3.88,60.1
D7,-73.18,43.36,736,October,4.64,48.3
D7,-73.18,43.36,736,November,3.51,37.4
D7,-73.18,43.36,736,December,4.2,27.2
D7,-73.18,43.36,736,Annual,46.99,45.7
,,,,,,
D8,-73.17,43.38,1052,January,3.4,20.5
D8,-73.17,43.38,1052,February,2.97,22.3
D8,-73.17,43.38,1052,March,3.57,30.6
D8,-73.17,43.38,1052,April,3.74,43.3
D8,-73.17,43.38,1052,May,4.1,54.9
D8,-73.17,43.38,1052,June,4.62,63.5
D8,-73.17,43.38,1052,July,4.71,68.1
D8,-73.17,43.38,1052,August,4.27,66.1
D8,-73.17,43.38,1052,September,3.93,59
D8,-73.17,43.38,1052,October,4.79,47.3
D8,-73.17,43.38,1052,November,3.58,36.9
D8,-73.17,43.38,1052,December,4.4,26.9
D8,-73.17,43.38,1052,Annual,48.09,45
,,,,,,
NW06C,-72.9652,44.908,342,January,2.63,17.2
NW06C,-72.9652,44.908,342,February,2.18,19.5
NW06C,-72.9652,44.908,342,March,2.72,29.1
NW06C,-72.9652,44.908,342,April,3.29,43.1
NW06C,-72.9652,44.908,342,May,3.83,56.2
NW06C,-72.9652,44.908,342,June,4.34,65
NW06C,-72.9652,44.908,342,July,4.37,69.7
NW06C,-72.9652,44.908,342,August,4.18,68.1
NW06C,-72.9652,44.908,342,September,3.94,60.7
NW06C,-72.9652,44.908,342,October,4.18,48.4
NW06C,-72.9652,44.908,342,November,3.16,36.8
NW06C,-72.9652,44.908,342,December,3.14,25.3
NW06C,-72.9652,44.908,342,Annual,41.96,44.9
,,,,,,
NW06T,-72.9557,44.9023,358,January,2.6,17.2
NW06T,-72.9557,44.9023,358,February,2.16,19.4
NW06T,-72.9557,44.9023,358,March,2.73,29
NW06T,-72.9557,44.9023,358,April,3.28,43.1
NW06T,-72.9557,44.9023,358,May,3.84,56.1
NW06T,-72.9557,44.9023,358,June,4.34,64.9
NW06T,-72.9557,44.9023,358,July,4.39,69.6
NW06T,-72.9557,44.9023,358,August,4.2,68.1
NW06T,-72.9557,44.9023,358,September,3.98,60.6
NW06T,-72.9557,44.9023,358,October,4.18,48.4
NW06T,-72.9557,44.9023,358,November,3.15,36.7
NW06T,-72.9557,44.9023,358,December,3.13,25.2
NW06T,-72.9557,44.9023,358,Annual,41.97,44.9
,,,,,,
AW10,-72.97,44.29,853,January,2.81,17.8
AW10,-72.97,44.29,853,February,2.22,19.7
AW10,-72.97,44.29,853,March,3,28.7
AW10,-72.97,44.29,853,April,3.81,41.9
AW10,-72.97,44.29,853,May,4.44,54.5
AW10,-72.97,44.29,853,June,5.1,63.2
AW10,-72.97,44.29,853,July,5.02,68
AW10,-72.97,44.29,853,August,4.46,66.2
AW10,-72.97,44.29,853,September,4.01,58.7
AW10,-72.97,44.29,853,October,4.72,46.7
AW10,-72.97,44.29,853,November,3.56,36
AW10,-72.97,44.29,853,December,3.34,25
AW10,-72.97,44.29,853,Annual,46.49,43.9
,,,,,,
AW11,-72.96,44.27,872,January,2.93,17.7
AW11,-72.96,44.27,872,February,2.36,19.6
AW11,-72.96,44.27,872,March,3.15,28.6
AW11,-72.96,44.27,872,April,3.85,41.8
AW11,-72.96,44.27,872,May,4.48,54.4
AW11,-72.96,44.27,872,June,5.08,63.1
AW11,-72.96,44.27,872,July,5.08,67.9
AW11,-72.96,44.27,872,August,4.6,66
AW11,-72.96,44.27,872,September,4.05,58.6
AW11,-72.96,44.27,872,October,4.86,46.6
AW11,-72.96,44.27,872,November,3.68,35.9
AW11,-72.96,44.27,872,December,3.52,25
AW11,-72.96,44.27,872,Annual,47.62,43.8
,,,,,,
EL3,-72.4554,44.8379,1307,January,3.45,14.9
EL3,-72.4554,44.8379,1307,February,3.13,17.2
EL3,-72.4554,44.8379,1307,March,3.54,26.3
EL3,-72.4554,44.8379,1307,April,3.94,39.8
EL3,-72.4554,44.8379,1307,May,4.45,53
EL3,-72.4554,44.8379,1307,June,5.04,61.7
EL3,-72.4554,44.8379,1307,July,4.97,66.3
EL3,-72.4554,44.8379,1307,August,4.62,64.7
EL3,-72.4554,44.8379,1307,September,3.97,57.5
EL3,-72.4554,44.8379,1307,October,5.13,45.2
EL3,-72.4554,44.8379,1307,November,4.23,33.5
EL3,-72.4554,44.8379,1307,December,4.3,22.1
EL3,-72.4554,44.8379,1307,Annual,50.77,41.9
,,,,,,
WR2,-72.1881,43.8067,434,January,2.61,18.9
WR2,-72.1881,43.8067,434,February,2.24,21.1
WR2,-72.1881,43.8067,434,March,2.78,30.5
WR2,-72.1881,43.8067,434,April,3.08,43.4
WR2,-72.1881,43.8067,434,May,3.26,55.8
WR2,-72.1881,43.8067,434,June,3.84,64.7
WR2,-72.1881,43.8067,434,July,4.19,69.9
WR2,-72.1881,43.8067,434,August,3.43,68.2
WR2,-72.1881,43.8067,434,September,3.35,60.6
WR2,-72.1881,43.8067,434,October,4.13,48
WR2,-72.1881,43.8067,434,November,2.89,36.7
WR2,-72.1881,43.8067,434,December,3.23,25.9
WR2,-72.1881,43.8067,434,Annual,39.02,45.3
,,,,,,
WR3,-72.1859,43.8068,417,January,2.62,19
WR3,-72.1859,43.8068,417,February,2.24,21.2
WR3,-72.1859,43.8068,417,March,2.78,30.6
WR3,-72.1859,43.8068,417,April,3.08,43.5
WR3,-72.1859,43.8068,417,May,3.26,55.9
WR3,-72.1859,43.8068,417,June,3.84,64.8
WR3,-72.1859,43.8068,417,July,4.19,70
WR3,-72.1859,43.8068,417,August,3.43,68.2
WR3,-72.1859,43.8068,417,September,3.36,60.7
WR3,-72.1859,43.8068,417,October,4.13,48
WR3,-72.1859,43.8068,417,November,2.89,36.8
WR3,-72.1859,43.8068,417,December,3.23,25.9
WR3,-72.1859,43.8068,417,Annual,39.04,45.4
,,,,,,
AW8,-72.4252,43.5505,681,January,2.98,19
AW8,-72.4252,43.5505,681,February,2.64,21.2
AW8,-72.4252,43.5505,681,March,3.1,30.3
AW8,-72.4252,43.5505,681,April,3.44,43
AW8,-72.4252,43.5505,681,May,3.55,55.3
AW8,-72.4252,43.5505,681,June,4.07,64.1
AW8,-72.4252,43.5505,681,July,4.14,69
AW8,-72.4252,43.5505,681,August,3.69,67.4
AW8,-72.4252,43.5505,681,September,3.5,60
AW8,-72.4252,43.5505,681,October,4.56,47.5
AW8,-72.4252,43.5505,681,November,3.16,36.6
AW8,-72.4252,43.5505,681,December,3.77,25.8
AW8,-72.4252,43.5505,681,Annual,42.58,44.9
,,,,,,
AW9,-72.4239,43.5485,680,January,2.97,19
AW9,-72.4239,43.5485,680,February,2.63,21.2
AW9,-72.4239,43.5485,680,March,3.09,30.3
AW9,-72.4239,43.5485,680,April,3.44,43
AW9,-72.4239,43.5485,680,May,3.55,55.3
AW9,-72.4239,43.5485,680,June,4.06,64.1
AW9,-72.4239,43.5485,680,July,4.13,69
AW9,-72.4239,43.5485,680,August,3.68,67.4
AW9,-72.4239,43.5485,680,September,3.49,60
AW9,-72.4239,43.5485,680,October,4.55,47.5
AW9,-72.4239,43.5485,680,November,3.16,36.6
AW9,-72.4239,43.5485,680,December,3.76,25.8
AW9,-72.4239,43.5485,680,Annual,42.52,44.9
,,,,,,
RM10,-73.1956,43.0017,1001,January,3.6,20.9
RM10,-73.1956,43.0017,1001,February,3.03,22.8
RM10,-73.1956,43.0017,1001,March,3.63,31.1
RM10,-73.1956,43.0017,1001,April,3.84,43.8
RM10,-73.1956,43.0017,1001,May,4.06,55.1
RM10,-73.1956,43.0017,1001,June,4.72,63.5
RM10,-73.1956,43.0017,1001,July,4.71,68
RM10,-73.1956,43.0017,1001,August,4.58,66.3
RM10,-73.1956,43.0017,1001,September,4.11,59.3
RM10,-73.1956,43.0017,1001,October,4.85,48
RM10,-73.1956,43.0017,1001,November,3.78,37.4
RM10,-73.1956,43.0017,1001,December,4.54,27.4
RM10,-73.1956,43.0017,1001,Annual,49.45,45.3
,,,,,,
RM9,-73.1959,43.0002,1009,January,3.6,20.9
RM9,-73.1959,43.0002,1009,February,3.03,22.8
RM9,-73.1959,43.0002,1009,March,3.63,31
RM9,-73.1959,43.0002,1009,April,3.85,43.7
RM9,-73.1959,43.0002,1009,May,4.06,55.1
RM9,-73.1959,43.0002,1009,June,4.71,63.5
RM9,-73.1959,43.0002,1009,July,4.71,68
RM9,-73.1959,43.0002,1009,August,4.58,66.3
RM9,-73.1959,43.0002,1009,September,4.11,59.3
RM9,-73.1959,43.0002,1009,October,4.85,47.9
RM9,-73.1959,43.0002,1009,November,3.78,37.4
RM9,-73.1959,43.0002,1009,December,4.54,27.3
RM9,-73.1959,43.0002,1009,Annual,49.44,45.3
,,,,,,
AW2,-72.8634,42.8041,1949,January,4.15,19.2
AW2,-72.8634,42.8041,1949,February,3.61,20.5
AW2,-72.8634,42.8041,1949,March,4.37,28
AW2,-72.8634,42.8041,1949,April,4.39,40.4
AW2,-72.8634,42.8041,1949,May,4.5,52.2
AW2,-72.8634,42.8041,1949,June,5.07,61
AW2,-72.8634,42.8041,1949,July,4.84,65.7
AW2,-72.8634,42.8041,1949,August,4.76,64.1
AW2,-72.8634,42.8041,1949,September,4.79,57.4
AW2,-72.8634,42.8041,1949,October,5.56,45.8
AW2,-72.8634,42.8041,1949,November,4.32,34.8
AW2,-72.8634,42.8041,1949,December,5.2,25.1
AW2,-72.8634,42.8041,1949,Annual,55.54,42.9
,,,,,,
AW3,-72.8635,42.7931,1834,January,4.13,19
AW3,-72.8635,42.7931,1834,February,3.61,20.4
AW3,-72.8635,42.7931,1834,March,4.37,28
AW3,-72.8635,42.7931,1834,April,4.39,40.4
AW3,-72.8635,42.7931,1834,May,4.53,52.2
AW3,-72.8635,42.7931,1834,June,5.07,61
AW3,-72.8635,42.7931,1834,July,4.85,65.6
AW3,-72.8635,42.7931,1834,August,4.75,64
AW3,-72.8635,42.7931,1834,September,4.8,57.3
AW3,-72.8635,42.7931,1834,October,5.57,45.7
AW3,-72.8635,42.7931,1834,November,4.31,34.8
AW3,-72.8635,42.7931,1834,December,5.19,25
AW3,-72.8635,42.7931,1834,Annual,55.57,42.8
,,,,,,
WR5,-72.3764,43.6027,652,January,2.81,18.8
WR5,-72.3764,43.6027,652,February,2.5,21
WR5,-72.3764,43.6027,652,March,3.01,30.2
WR5,-72.3764,43.6027,652,April,3.32,43.1
WR5,-72.3764,43.6027,652,May,3.36,55.3
WR5,-72.3764,43.6027,652,June,3.98,64.1
WR5,-72.3764,43.6027,652,July,4.27,69.1
WR5,-72.3764,43.6027,652,August,3.55,67.5
WR5,-72.3764,43.6027,652,September,3.33,60.1
WR5,-72.3764,43.6027,652,October,4.31,47.5
WR5,-72.3764,43.6027,652,November,3.04,36.5
WR5,-72.3764,43.6027,652,December,3.52,25.6
WR5,-72.3764,43.6027,652,Annual,41.01,44.9
,,,,,,
WR6,-72.3977,43.5992,765,January,2.92,18.7
WR6,-72.3977,43.5992,765,February,2.6,20.9
WR6,-72.3977,43.5992,765,March,3.05,29.9
WR6,-72.3977,43.5992,765,April,3.41,42.8
WR6,-72.3977,43.5992,765,May,3.49,55.1
WR6,-72.3977,43.5992,765,June,4.04,63.8
WR6,-72.3977,43.5992,765,July,4.25,68.7
WR6,-72.3977,43.5992,765,August,3.66,67.1
WR6,-72.3977,43.5992,765,September,3.44,59.7
WR6,-72.3977,43.5992,765,October,4.45,47.3
WR6,-72.3977,43.5992,765,November,3.09,36.3
WR6,-72.3977,43.5992,765,December,3.67,25.5
WR6,-72.3977,43.5992,765,Annual,42.07,44.6
,,,,,,
DC22,-73.3666,44.0003,200,January,2.38,20.2
DC22,-73.3666,44.0003,200,February,2,22.1
DC22,-73.3666,44.0003,200,March,2.5,31.5
DC22,-73.3666,44.0003,200,April,3.06,44.6
DC22,-73.3666,44.0003,200,May,3.21,57
DC22,-73.3666,44.0003,200,June,3.91,66.2
DC22,-73.3666,44.0003,200,July,3.63,71.2
DC22,-73.3666,44.0003,200,August,3.49,69.5
DC22,-73.3666,44.0003,200,September,2.99,61.8
DC22,-73.3666,44.0003,200,October,3.61,49.4
DC22,-73.3666,44.0003,200,November,2.71,38.1
DC22,-73.3666,44.0003,200,December,2.98,27.2
DC22,-73.3666,44.0003,200,Annual,36.46,46.6
,,,,,,
DC23,-73.3666,44.0001,200,January,2.38,20.2
DC23,-73.3666,44.0001,200,February,2,22.1
DC23,-73.3666,44.0001,200,March,2.5,31.5
DC23,-73.3666,44.0001,200,April,3.06,44.6
DC23,-73.3666,44.0001,200,May,3.21,57
DC23,-73.3666,44.0001,200,June,3.91,66.2
DC23,-73.3666,44.0001,200,July,3.63,71.2
DC23,-73.3666,44.0001,200,August,3.49,69.5
DC23,-73.3666,44.0001,200,September,2.99,61.8
DC23,-73.3666,44.0001,200,October,3.61,49.4
DC23,-73.3666,44.0001,200,November,2.71,38.1
DC23,-73.3666,44.0001,200,December,2.98,27.2
DC23,-73.3666,44.0001,200,Annual,36.46,46.6
,,,,,,
DC25,-73.36,43.97,195,January,2.38,20.3
DC25,-73.36,43.97,195,February,1.98,22.2
DC25,-73.36,43.97,195,March,2.45,31.7
DC25,-73.36,43.97,195,April,3.03,44.8
DC25,-73.36,43.97,195,May,3.25,57
DC25,-73.36,43.97,195,June,3.9,66.3
DC25,-73.36,43.97,195,July,3.63,71.4
DC25,-73.36,43.97,195,August,3.54,69.6
DC25,-73.36,43.97,195,September,3.04,61.9
DC25,-73.36,43.97,195,October,3.69,49.6
DC25,-73.36,43.97,195,November,2.73,38.2
DC25,-73.36,43.97,195,December,2.98,27.3
DC25,-73.36,43.97,195,Annual,36.61,46.7
,,,,,,
DC26,-73.3599,43.9769,189,January,2.38,20.3
DC26,-73.3599,43.9769,189,February,1.98,22.3
DC26,-73.3599,43.9769,189,March,2.45,31.6
DC26,-73.3599,43.9769,189,April,3.04,44.7
DC26,-73.3599,43.9769,189,May,3.24,57
DC26,-73.3599,43.9769,189,June,3.91,66.3
DC26,-73.3599,43.9769,189,July,3.63,71.3
DC26,-73.3599,43.9769,189,August,3.53,69.7
DC26,-73.3599,43.9769,189,September,3.03,61.9
DC26,-73.3599,43.9769,189,October,3.68,49.6
DC26,-73.3599,43.9769,189,November,2.73,38.2
DC26,-73.3599,43.9769,189,December,2.97,27.2
DC26,-73.3599,43.9769,189,Annual,36.58,46.7
,,,,,,
DC38,-73.3675,43.9598,235,January,2.41,20.3
DC38,-73.3675,43.9598,235,February,2,22.3
DC38,-73.3675,43.9598,235,March,2.49,31.7
DC38,-73.3675,43.9598,235,April,3.02,44.7
DC38,-73.3675,43.9598,235,May,3.24,57
DC38,-73.3675,43.9598,235,June,3.88,66.1
DC38,-73.3675,43.9598,235,July,3.61,71.3
DC38,-73.3675,43.9598,235,August,3.56,69.5
DC38,-73.3675,43.9598,235,September,3.05,61.8
DC38,-73.3675,43.9598,235,October,3.68,49.4
DC38,-73.3675,43.9598,235,November,2.74,38.1
DC38,-73.3675,43.9598,235,December,2.98,27.3
DC38,-73.3675,43.9598,235,Annual,36.65,46.6
,,,,,,
DC39,-73.361,43.9608,232,January,2.39,20.3
DC39,-73.361,43.9608,232,February,1.99,22.2
DC39,-73.361,43.9608,232,March,2.46,31.7
DC39,-73.361,43.9608,232,April,3.02,44.7
DC39,-73.361,43.9608,232,May,3.25,57
DC39,-73.361,43.9608,232,June,3.89,66.1
DC39,-73.361,43.9608,232,July,3.63,71.3
DC39,-73.361,43.9608,232,August,3.56,69.5
DC39,-73.361,43.9608,232,September,3.05,61.8
DC39,-73.361,43.9608,232,October,3.7,49.4
DC39,-73.361,43.9608,232,November,2.74,38.1
DC39,-73.361,43.9608,232,December,2.98,27.3
DC39,-73.361,43.9608,232,Annual,36.66,46.6
,,,,,,
DC40,-73.3178,43.9755,247,January,2.3,20.1
DC40,-73.3178,43.9755,247,February,1.92,22.1
DC40,-73.3178,43.9755,247,March,2.31,31.5
DC40,-73.3178,43.9755,247,April,3.04,44.4
DC40,-73.3178,43.9755,247,May,3.36,56.9
DC40,-73.3178,43.9755,247,June,3.97,66
DC40,-73.3178,43.9755,247,July,3.71,71
DC40,-73.3178,43.9755,247,August,3.56,69.3
DC40,-73.3178,43.9755,247,September,3.08,61.6
DC40,-73.3178,43.9755,247,October,3.82,49.2
DC40,-73.3178,43.9755,247,November,2.73,37.9
DC40,-73.3178,43.9755,247,December,2.94,27
DC40,-73.3178,43.9755,247,Annual,36.73,46.4
,,,,,,
DA3,-73.1553,44.826,113,January,2.25,18.3
DA3,-73.1553,44.826,113,February,1.96,20.6
DA3,-73.1553,44.826,113,March,2.38,30.1
DA3,-73.1553,44.826,113,April,3.2,44
DA3,-73.1553,44.826,113,May,3.65,57.2
DA3,-73.1553,44.826,113,June,4.34,65.9
DA3,-73.1553,44.826,113,July,4.11,70.9
DA3,-73.1553,44.826,113,August,3.86,69.4
DA3,-73.1553,44.826,113,September,3.59,61.8
DA3,-73.1553,44.826,113,October,3.9,49.3
DA3,-73.1553,44.826,113,November,2.88,37.9
DA3,-73.1553,44.826,113,December,2.75,26.5
DA3,-73.1553,44.826,113,Annual,38.88,46
,,,,,,
DA2,-73.1553,44.826,113,January,2.25,18.3
DA2,-73.1553,44.826,113,February,1.96,20.6
DA2,-73.1553,44.826,113,March,2.38,30.1
DA2,-73.1553,44.826,113,April,3.2,44
DA2,-73.1553,44.826,113,May,3.65,57.2
DA2,-73.1553,44.826,113,June,4.34,65.9
DA2,-73.1553,44.826,113,July,4.11,70.9
DA2,-73.1553,44.826,113,August,3.86,69.4
DA2,-73.1553,44.826,113,September,3.59,61.8
DA2,-73.1553,44.826,113,October,3.9,49.3
DA2,-73.1553,44.826,113,November,2.88,37.9
DA2,-73.1553,44.826,113,December,2.75,26.5
DA2,-73.1553,44.826,113,Annual,38.88,46
,,,,,,
DA4,-73.1553,44.826,113,January,2.25,18.3
DA4,-73.1553,44.826,113,February,1.96,20.6
DA4,-73.1553,44.826,113,March,2.38,30.1
DA4,-73.1553,44.826,113,April,3.2,44
DA4,-73.1553,44.826,113,May,3.65,57.2
DA4,-73.1553,44.826,113,June,4.34,65.9
DA4,-73.1553,44.826,113,July,4.11,70.9
DA4,-73.1553,44.826,113,August,3.86,69.4
DA4,-73.1553,44.826,113,September,3.59,61.8
DA4,-73.1553,44.826,113,October,3.9,49.3
DA4,-73.1553,44.826,113,November,2.88,37.9
DA4,-73.1553,44.826,113,December,2.75,26.5
DA4,-73.1553,44.826,113,Annual,38.88,46
,,,,,,
DA1,-73.1553,44.826,113,January,2.25,18.3
DA1,-73.1553,44.826,113,February,1.96,20.6
DA1,-73.1553,44.826,113,March,2.38,30.1
DA1,-73.1553,44.826,113,April,3.2,44
DA1,-73.1553,44.826,113,May,3.65,57.2
DA1,-73.1553,44.826,113,June,4.34,65.9
DA1,-73.1553,44.826,113,July,4.11,70.9
DA1,-73.1553,44.826,113,August,3.86,69.4
DA1,-73.1553,44.826,113,September,3.59,61.8
DA1,-73.1553,44.826,113,October,3.9,49.3
DA1,-73.1553,44.826,113,November,2.88,37.9
DA1,-73.1553,44.826,113,December,2.75,26.5
DA1,-73.1553,44.826,113,Annual,38.88,46
,,,,,,
WR8,-72.6005,43.6849,1218,January,3.33,17.5
WR8,-72.6005,43.6849,1218,February,2.86,19.4
WR8,-72.6005,43.6849,1218,March,3.45,27.7
WR8,-72.6005,43.6849,1218,April,3.7,40.7
WR8,-72.6005,43.6849,1218,May,3.93,52.9
WR8,-72.6005,43.6849,1218,June,4.54,61.8
WR8,-72.6005,43.6849,1218,July,4.34,66.2
WR8,-72.6005,43.6849,1218,August,4.33,64.7
WR8,-72.6005,43.6849,1218,September,3.9,57.6
WR8,-72.6005,43.6849,1218,October,5.01,45.8
WR8,-72.6005,43.6849,1218,November,3.53,34.9
WR8,-72.6005,43.6849,1218,December,4.06,24.2
WR8,-72.6005,43.6849,1218,Annual,46.98,42.8
,,,,,,
WR7,-72.5991,43.6785,1266,January,3.31,17.4
WR7,-72.5991,43.6785,1266,February,2.85,19.4
WR7,-72.5991,43.6785,1266,March,3.43,27.7
WR7,-72.5991,43.6785,1266,April,3.69,40.7
WR7,-72.5991,43.6785,1266,May,3.91,52.9
WR7,-72.5991,43.6785,1266,June,4.52,61.7
WR7,-72.5991,43.6785,1266,July,4.33,66.1
WR7,-72.5991,43.6785,1266,August,4.31,64.7
