Field_Code,Type.x,soil_texture_class,perC_P,perN_P,soilMass,panMass_P,fracPanMass_P,perC_M,perN_M,panMass_M,fracPanMass_M,gP,gM,gCarbonP,gCarbonM,mgCpergSoilP,mgCpergSoilM,propM,Type.y,OM30,BD30,MTC_ha30,CO2e_ha30,DateSampled,DateReceived,Tillage_1to4,Crop2Ago,CropLastYr,CropThisYr,soil_texture_sand,soil_texture_silt,soil_texture_clay,water_capacity,water_capacity_rating,pred_water_capacity,pred_water_capacity_rating,surface_hardness,surface_hardness_rating,subsurface_hardness,subsurface_hardness_rating,aggregate_stability,aggregate_stability_rating,organic_matter,organic_matter_rating,soc,total_c,total_n,ace_soil_protein_index,ace_soil_protein_index_rating,pred_soil_protein,pred_soil_protein_rating,respiration,respiration_rating,active_carbon,active_carbon_rating,ph,ph_rating,p,p_rating,k,k_rating,mg,fe,mn,zn,minor_elements_rating,overall.score,Mod..Morgan.Al..ppm,Mod..Morgan.Ca..ppm,Mod..Morgan.Cu..ppm,Mod..Morgan.S..ppm,Mod..Morgan.B..ppm,CN_ratio,Acres,Owned,Yields,Type,Plants,croprotation,years.since.till,animal,cutshay,till.passes,till.depth,Organic.matter.additions,Soil.amendments,plastic.mulch,herbicides,insecticides,treated.seed,organic,irrigation,Pattern.Drainage.Tile,Longitude,Latitude,Elevation..ft.,Date,ppt.in,ppt.cm,tmeanF,tmeanC
AW51,Veg,sandy loam,1.259892699,0.07614569,23.8,308.82,325.2,8.034466915,0.656815469,306.68,314.02,16.38,7.34,0.206370424,0.589729872,8.671026223,24.77856603,0.740773336,Veg,3.92,1.339372844,78.75512323,288.7687852,5/20/2021,5/26/2021,4,MIX,MIX,MIX,61.78232,25.57263,12.64505,,,0.234244,93.17827,NA,NA,NA,NA,69.7254,98.42781,5.74,99.99985,NA,3.263,0.249,NA,NA,12.97868,94.45217,0.702237,63.33691,889.5685,98.60198,6.48,100,13.1,100,183.5,100,125.8,8.4,2.8,1.2,100,94.7997,2.82,4921.5,0.05,4.6,0.59,13.10441767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.5848,42.8767,402,Annual,48.1,122.174,47,8.333333333
AW52,Veg,sandy loam,0.96615798,0.05575584,27.73,306.55,326.75,8.457528238,0.639593248,306.02,313.5,20.2,7.48,0.195163912,0.632623112,7.038006201,22.81367155,0.764234149,Veg,3.59,1.425248179,76.74961444,281.4152529,5/20/2021,5/26/2021,4,MIX,MIX,MIX,71.84686,19.94533,8.20781,,,0.177812,75.27057,NA,NA,NA,NA,69.14734,98.29673,4.39,99.85937,NA,2.89,0.207,NA,NA,11.67517,88.90473,0.822823,77.11815,794.2447,95.73949,6.54,100,27.5,100,319.2,100,133.8,6.5,3.2,1.9,100,93.5189,20.08,2444,0.09,12.8,0.2,13.96135266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.5846,42.877,401,Annual,48.1,122.174,47,8.333333333
AW6,Pasture,loam,3.149533636,0.229367353,18.98,309.25,320.7,6.019282886,0.539948652,308.86,315.92,11.45,7.06,0.360621601,0.424961372,19.00008437,22.38995636,0.540950334,Pasture,4.66,1.16263908,81.26847169,297.9843962,5/20/2021,5/26/2021,1,GRE,GRE,GRE,48.32497,37.32536,14.34967,,,0.248441,91.31856,NA,NA,NA,NA,92.12982,99.96582,6.18,99.97948,NA,4.035,0.336,NA,NA,11.9949,95.20558,1.63146,99.97072,884.1728,98.10812,6.94,100,4,100,238.4,100,144,6.9,3.6,0.8,100,98.45483,3.49,4139.9,0,17.37,0.45,12.00892857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.6542,42.8903,1166,Annual,52.27,132.7658,45,7.222222222
AW7,Pasture,sandy loam,2.248069688,0.124809315,19.14,308.3,320.29,7.261788219,0.565612493,310.46,317.71,11.99,7.25,0.269543556,0.526479646,14.0827354,27.50677356,0.661387312,Pasture,5.97,1.332499275,119.3253101,437.5261369,5/20/2021,5/26/2021,1,GRE,GRE,GRE,55.1644,30.90981,13.92578,,,0.24159,94.45476,NA,NA,NA,NA,85.18282,99.86944,6.67,100,NA,4.399,0.318,NA,NA,15.23632,98.74204,1.085275,94.71239,774.4605,94.76307,5.75,41.01058,4.1,100,122.1,100,109.6,16.6,4.9,1.2,100,92.35523,3.29,4290.6,0.02,7.42,1.96,13.83333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.6517,42.8875,1050,Annual,52.11,132.3594,45.2,7.333333333
AW8,Hay,sandy loam,2.92453424,0.184900626,24.1,307.96,326.52,8.409013981,0.754106627,306.54,312.52,18.56,5.98,0.542793555,0.502859036,22.52255415,20.86552017,0.4809045,Hay,6.24,1.296648838,121.3663312,445.0098812,6/10/2021,6/17/2021,1,GRE,GRE,GRE,66.49902,21.069,12.43198,,,0.222238,90.61959,NA,NA,NA,NA,78.14939,99.55959,5.04,99.99277,NA,3.639,0.273,NA,NA,14.15691,97.32304,0.604349,50.57836,920.968,99.07347,6.63,100,24.1,58.4,215.1,100,234.1,6,3,1.7,100,89.55468,18.4,1544,0.06,3.86,0.29,13.32967033,3.5,1,3,pasture/hay,Grasses (less than 30% legume),,NA,Cow,1,0,6,"Compost, Clover Frost Seeding",,0,0,0,0,1,0,0,-72.4252,43.5505,681,Annual,42.58,108.1532,44.9,7.166666667
AW9,Hay,sandy loam,1.684536135,0.100604436,24.18,308.56,326.37,4.519371586,0.473535115,310.39,318.49,17.81,8.1,0.300015886,0.366069098,12.40760487,15.1393341,0.549583172,Hay,4.99,1.231136494,92.15056658,337.8854108,6/10/2021,6/17/2021,1,GRE,GRE,GRE,68.79286,17.69379,13.51335,,,0.20659,86.30543,NA,NA,NA,NA,80.2139,99.68725,5.33,99.99843,NA,3.426,0.263,NA,NA,15.60111,99.04398,0.675282,59.90702,1029.702,99.81253,6.56,100,16.6,100,88.7,100,252.1,6.4,2.4,1.1,100,94.47546,28.65,1568.1,0.05,4.45,0.26,13.02661597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.4239,43.5485,680,Annual,42.52,108.0008,44.9,7.166666667
D1,Field crops,loam,2.646843212,0.192219998,20.17,308.46,320.92,6.982398825,0.639750264,308.63,316.51,12.46,7.88,0.329796664,0.550213027,16.35085098,27.27878173,0.625235191,Field crops,6.54,1.181408738,115.8961972,424.9527231,5/3/2021,5/18/2021,3,WHT,WHT,WHT,43.99143,39.53854,16.47003,,,0.238644,88.68443,NA,NA,NA,NA,85.78236,99.88306,5.76,99.89177,NA,4.316,0.373,NA,NA,11.20147,92.28764,1.127835,96.07495,783.5635,93.73345,6.65,100,3.1,88.8,157.1,100,124.6,9.4,2.3,2.1,100,95.93553,85.72,2086.3,0.11,13.42,0.2,11.57104558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.9552,44.4296,888,Annual,41.52,105.4608,42.5,5.833333333
D2,Field crops,loam,1.2356257,0.08230898,17.762,309.52,318.81,3.41358163,0.322767758,310.25,318.71,9.29,8.46,0.114789628,0.288789006,6.462652152,16.25881128,0.715570603,Field crops,3.63,1.39032424,75.70315487,277.5782345,4/20/2021,4/27/2021,3,GRE,GRE,GRE,45.37376,40.66995,13.95629,,,0.211622,78.64569,NA,NA,NA,NA,41.85159,72.6701,3.54,72.57469,NA,2.57,0.212,NA,NA,8.668759,74.44737,0.689469,61.72362,681.3801,83.65638,6.86,100,5.4,100,61.4,86.66248,53.7,1.7,4.3,0.4,100,83.03803,13.6,1711.4,0.06,3.87,0.19,12.12264151,14.9,0,1,wheat/clover,,,1,,NA,3,10,Poultry manure ,,0,0,0,0,1,0,0,-73.2677,44.2918,167,Annual,36.49,92.6846,46.6,8.111111111
D3,Hay,sandy loam,0.785078356,0.038315651,25.37,307.35,323,2.970480854,0.317556246,309.38,319.22,15.65,9.84,0.122864763,0.292295316,4.842915363,11.52129744,0.704054486,Hay,2.25,0.9284743,31.33600763,114.8986946,4/6/2021,4/27/2021,2,COS,COS,COS,72.56659,15.75033,11.68308,,,0.160463,66.82853,NA,NA,NA,NA,29.41119,46.48322,2.08,53.98278,NA,1.474,0.133,NA,NA,6.102303,35.54042,0.618536,52.46336,569.6549,72.51716,7.18,100,10,100,76.6,100,96.4,0.6,2.8,0.3,100,72.78155,4.8,1872.9,0.04,3.99,0.28,11.08270677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.2136,43.9104,403,Annual,38.44,97.6376,46,7.777777778
D4,Hay,sandy clay loam,2.849152268,0.192968388,24.29,309,325.05,7.065944511,0.663926743,309.29,316.87,16.05,7.58,0.457288939,0.535598594,18.82622227,22.05016854,0.53943531,Hay,5.77,1.238267912,107.1720878,392.9643219,5/4/2021,5/13/2021,1,GRE,GRE,GRE,52.08724,27.21742,20.69534,,,0.237104,88.22318,NA,NA,NA,NA,68.88933,98.23527,6.09,99.97019,NA,5.019,0.432,NA,NA,14.84989,99.43012,1.622948,99.9675,867.7581,97.65876,6.61,100,5.4,100,101.6,100,109.3,5.4,6.2,1.3,100,98.3485,69.42,1591.5,0.07,8.63,0.19,11.61805556,4,1,2,hay,Grass-legume mix (30-60% legume),,NA,,3,0,0,Dairy manure (liquid) ,,0,0,0,0,1,0,0,-71.9447,44.4365,897,Annual,41.68,105.8672,42.4,5.777777778
D5,Veg,loam,2.186907486,0.15257327,20.05,309.24,320.9,5.004756471,0.444407847,307.5,316.19,11.66,8.69,0.254993413,0.434913337,12.71787595,21.69143827,0.630394379,Veg,4.03,1.229806908,74.34182759,272.5867012,5/4/2021,5/13/2021,3,MIX,MIX,MIX,35.56425,45.13081,19.30495,,,0.252661,92.30023,NA,NA,NA,NA,53.69144,89.62799,5.48,99.70704,NA,4.409,0.37,NA,NA,12.61753,96.8116,1.076763,94.39936,871.39,97.76525,6.89,100,8.9,100,169.6,100,142.9,4.9,5.6,1.4,100,97.06115,62.21,2197.7,0.08,13.2,0.34,11.91621622,0.25,1,1,Vegetables/fallow,,"More than 1 crop in a single season (i.e. spring peas, salad greens & brassicas in one season)",6,,NA,2,8,,"Liming materials ,Certified organic fertilizer amendments (i.e. Bone meal, Feathermeal, Seed meals, ProGro etc.)",0,0,0,0,1,1,0,-71.9442,44.4359,893,Annual,41.66,105.8164,42.4,5.777777778
D6,Veg,sandy loam,1.876316527,0.1231675,28.25,306.93,327.95,8.932048804,0.775243405,310.68,318.22,21.02,7.54,0.394401734,0.67347648,13.96112333,23.83987539,0.630667871,Veg,4.87,1.150756958,84.06279578,308.2302512,5/4/2021,5/13/2021,3,MIX,MIX,MIX,60.95347,22.98484,16.06169,,,0.236984,93.67859,NA,NA,NA,NA,51.64811,87.43334,5.43,99.9991,NA,4.268,0.342,NA,NA,13.83142,96.69356,0.651165,56.77114,911.3419,98.94645,6.29,98.70355,8.4,100,110.7,100,89,4.6,2.2,1.4,100,93.22257,81.62,1392.2,0.04,26.5,0.27,12.47953216,0.25,1,2,Strawberries/tarped,,"Same crop each year for the last 3 years (i.e. corn, corn, corn) ",6,,NA,1,8,,"Liming materials ,Certified organic fertilizer amendments (i.e. Bone meal, Feathermeal, Seed meals, ProGro etc.),Other (i.e. foliar spray, mineral blend ) ",1,0,0,0,1,1,0,-71.9463,44.436,889,Annual,41.66,105.8164,42.5,5.833333333
D7,Field crops,silt loam,2.171280542,0.1531402,18.51,307.37,314.96,3.992832514,0.415952125,308.77,320.74,7.59,11.97,0.164800193,0.477942052,8.90330595,25.82074835,0.743598317,Field crops,7.3,1.358427618,148.7478242,545.4086886,7/1/2021,7/21/2021,2,GIE,GIE,SSH,32.24371,52.78902,14.96727,,,0.234419,87.38774,NA,NA,NA,NA,70.56397,98.60254,5.105059,99.03311,NA,3.605,0.36,NA,NA,10.74122,90.06419,0.740541,68.02755,794.376,94.42202,6.28,98.54385,12.2,100,136.7,100,166.2,2.4,6.7,2.1,100,93.6081,18.88,1956.7,0.72,7.8,0.52,10.01388889,7.5,1,2,pasture,Legume (more than 60% legume),,NA,Cow,NA,1,5,Beef Manure,Microbial inoculant ,0,0,0,0,1,0,1,-73.18,43.36,736,Annual,46.99,119.3546,45.7,7.611111111
D8,Pasture,silt loam,3.264820707,0.266607836,29.2,311.24,324.93,1.641740406,0.16924763,310.82,326.33,13.69,15.51,0.446953955,0.254633937,15.30664229,8.720340307,0.362939469,Pasture,6.67,1.327894117,132.8558064,487.1379568,7/1/2021,7/21/2021,1,GIE,GIE,GIE,31.21977,54.32387,14.45636,,,0.25514,92.83609,NA,NA,NA,NA,80.69851,99.7119,5.178994,99.22633,NA,3.356,0.335,NA,NA,10.17782,86.74658,1.279632,98.82571,609.467,72.29788,6.18,95.79407,3.6,100,81.7,100,155.5,4.3,8.3,0.5,100,94.54386,40.91,1326.3,0.12,7.35,0.09,10.01791045,12.5,1,1,pasture/hay,Grass-legume mix (30-60% legume),,NA,Cow,NA,0,0,Dairy manure (solid) ,Liming materials ,0,0,0,0,1,0,0,-73.17,43.38,1052,Annual,48.09,122.1486,45,7.222222222
DA1,Corn,silty clay,2.315081755,0.184273236,18.8525,309.33,312.64,1.693803508,0.199931598,308.47,324.25,3.31,15.78,0.076629206,0.267282194,4.064670791,14.1775464,0.777183291,Corn,3.8,1.402159839,79.92311082,293.0514064,4/13/2021,4/28/2021,NA,NA,NA,COS,11.23446952,41.21785505,47.54767543,,,0.240011948,89.08297869,NA,NA,NA,NA,39.57648301,59.51711044,4.23,60.08529798,NA,2.365,0.245,NA,NA,3.768680216,23.87156852,0.688050322,61.54304108,720.3943853,76.63784233,6.59,100,12.4,100,221.5,100,848.9,7.1,6,1.1,100,77.0737839,2.71,2993.4,0.31,11.29,0.36,9.653061224,3.2,1,NA,hay,Legume (more than 60% legume),,NA,,NA,0,0,Dairy manure (liquid) ,"Synthetic fertilizers (i.e. Urea, Nitran, etc.) ",0,0,0,0,0,0,0,-73.1553,44.826,113,Annual,38.88,98.7552,46,7.777777778
DA2,Corn,silty clay,2.863811829,0.193820232,21.2568,311.2,314.82,1.785982538,0.200268293,310.49,328.02,3.62,17.53,0.103669988,0.313082739,4.877027032,14.72859221,0.751243408,Corn,4.22,1.420431187,89.91329414,329.6820785,4/13/2021,4/28/2021,NA,NA,NA,COS,12.64643648,44.15159402,43.20196951,,,0.242982027,89.91364734,NA,NA,NA,NA,39.96621981,60.31002568,4.24,60.51370895,NA,2.536,0.252,NA,NA,4.20479682,28.60138495,0.610023997,51.33275076,708.1607623,74.72317458,6.6,100,10.4,100,171.2,100,792.9,3.8,4.7,0.9,100,76.53946923,4.6,2945.6,0.19,8.46,0.37,10.06349206,4,1,NA,hay,Legume (more than 60% legume),,NA,,NA,0,0,Dairy manure (liquid) ,"Synthetic fertilizers (i.e. Urea, Nitran, etc.) ",0,0,0,0,0,0,1,-73.1553,44.826,113,Annual,38.88,98.7552,46,7.777777778
DA3,Corn,silty clay,3.104549799,0.246614786,19.9497,309.46,312.88,1.775791948,0.224059605,310.68,327.34,3.42,16.66,0.106175603,0.295846939,5.322165402,14.82964348,0.735896394,Corn,3.26,1.354820438,66.25071942,242.9193045,4/13/2021,4/28/2021,NA,NA,NA,COS,6.680325043,43.57056444,49.74911051,,,0.254985806,92.80361902,NA,NA,NA,NA,33.44291031,46.73424063,3.86,43.819168,NA,2.251,0.237,NA,NA,3.920145927,25.46425225,0.523485709,39.93431536,683.6935163,70.65960471,6.76,100,6.9,100,197.3,100,885.7,2.5,4.9,0.6,100,71.94152,8.32,2768.4,0.33,7.47,0.32,9.497890295,3.1,1,NA,hay,Legume (more than 60% legume),,NA,,NA,0,0,Dairy manure (liquid) ,"Synthetic fertilizers (i.e. Urea, Nitran, etc.) ",0,0,0,0,0,0,1,-73.1553,44.826,113,Annual,38.88,98.7552,46,7.777777778
DA4,Corn,silty clay,4.015806518,0.296477256,23,310.39,314.79,2.525762843,0.25689897,309.35,328.08,4.4,18.73,0.176695487,0.47307538,7.682412469,20.5684948,0.728064929,Corn,4.33,1.333974492,86.64164326,317.6860253,4/13/2021,4/28/2021,NA,NA,NA,COS,10.77532934,43.39058795,45.8340827,,,0.246125515,90.74157388,NA,NA,NA,NA,43.86434037,67.95870021,5.21,91.0597645,NA,3.365,0.32,NA,NA,6.934680897,63.4912831,0.787356554,73.38575367,933.6089581,96.35171188,6.58,100,21,100,182.6,100,832.6,6.1,3.7,1.2,100,88.29887872,5.44,3115.9,0.17,10.22,0.45,10.515625,1.6,1,NA,hay,Legume (more than 60% legume),,NA,,NA,0,0,Dairy manure (liquid) ,"Synthetic fertilizers (i.e. Urea, Nitran, etc.) ",0,0,0,0,0,0,0,-73.1553,44.826,113,Annual,38.88,98.7552,46,7.777777778
